rank,dead,level,class,experience,challenges,twitch,ladder
81,FALSE,95,Gladiator,2999320637,35,null,SSF Harbinger HC
81,FALSE,96,Raider,3113738535,36,null,SSF Harbinger
82,FALSE,100,Guardian,4250334444,40,null,Harbinger
82,FALSE,96,Assassin,3113256034,32,null,SSF Harbinger
82,FALSE,95,Trickster,2997090208,35,lifesprig,SSF Harbinger HC
82,FALSE,100,Necromancer,4250334444,40,az1mut,Hardcore Harbinger
83,FALSE,96,Saboteur,3112947092,29,null,SSF Harbinger
83,FALSE,95,Saboteur,2985820625,28,chadcwizzywarden,SSF Harbinger HC
83,FALSE,100,Inquisitor,4250334444,25,null,Harbinger
83,FALSE,100,Ascendant,4250334444,32,yovu,Hardcore Harbinger
84,FALSE,100,Berserker,4250334444,36,abdelapo,Harbinger
84,TRUE,100,Elementalist,4250334444,36,jcaiman,Hardcore Harbinger
84,TRUE,95,Gladiator,2985059699,25,null,SSF Harbinger HC
84,FALSE,96,Raider,3112448345,39,qskittles,SSF Harbinger
85,FALSE,95,Necromancer,2981084552,31,null,SSF Harbinger HC
85,FALSE,96,Gladiator,3112116724,29,cl0udm4n,SSF Harbinger
85,FALSE,100,Necromancer,4250334444,36,kami_koi,Harbinger
85,TRUE,100,Inquisitor,4250334444,40,null,Hardcore Harbinger
86,FALSE,100,Necromancer,4250334444,31,brkng_g,Hardcore Harbinger
86,FALSE,96,Slayer,3111671992,39,edraellea,SSF Harbinger
86,TRUE,95,Inquisitor,2978805592,25,koolgrim,SSF Harbinger HC
86,FALSE,100,Berserker,4250334444,33,null,Harbinger
87,FALSE,100,Ascendant,4250334444,30,null,Harbinger
87,TRUE,100,Ascendant,4250334444,36,trytoabuse,Hardcore Harbinger
87,FALSE,96,Berserker,3111598450,38,null,SSF Harbinger
87,TRUE,95,Berserker,2967683832,27,witchkiller_,SSF Harbinger HC
88,TRUE,95,Gladiator,2944704349,22,null,SSF Harbinger HC
88,FALSE,100,Juggernaut,4250334444,27,null,Hardcore Harbinger
88,FALSE,96,Gladiator,3111590991,27,null,SSF Harbinger
88,FALSE,100,Berserker,4250334444,33,null,Harbinger
89,FALSE,100,Necromancer,4250334444,40,ihuytv,Harbinger
89,FALSE,100,Deadeye,4250334444,36,yoshixt,Hardcore Harbinger
89,FALSE,96,Raider,3111330282,37,35marijuanas,SSF Harbinger
89,TRUE,95,Champion,2936750605,32,null,SSF Harbinger HC
90,FALSE,100,Berserker,4250334444,36,zlanderz,Hardcore Harbinger
90,FALSE,96,Ascendant,3111322129,37,null,SSF Harbinger
90,FALSE,100,Necromancer,4250334444,40,null,Harbinger
90,TRUE,95,Slayer,2936124723,22,hafder,SSF Harbinger HC
91,TRUE,95,Slayer,2929910728,28,chadcwizzywarden,SSF Harbinger HC
91,FALSE,100,Slayer,4250334444,33,null,Harbinger
91,FALSE,100,Juggernaut,4250334444,40,corund,Hardcore Harbinger
91,FALSE,96,Berserker,3111280300,40,null,SSF Harbinger
92,FALSE,100,Elementalist,4250334444,26,null,Harbinger
92,FALSE,96,Pathfinder,3111280300,27,null,SSF Harbinger
92,FALSE,100,Ascendant,4250334444,36,null,Hardcore Harbinger
92,FALSE,95,Slayer,2926948823,25,igibek,SSF Harbinger HC
93,FALSE,100,Inquisitor,4250334444,31,tartaros38,Hardcore Harbinger
93,FALSE,95,Gladiator,2918437276,25,tryhardvegetable,SSF Harbinger HC
93,FALSE,100,Slayer,4250334444,40,dopaminequest,Harbinger
93,FALSE,96,Berserker,3111280300,29,masswasting,SSF Harbinger
94,FALSE,100,Juggernaut,4250334444,26,null,Hardcore Harbinger
94,TRUE,95,Saboteur,2915111383,24,gorillajoose,SSF Harbinger HC
94,FALSE,100,Inquisitor,4250334444,40,smileystv,Harbinger
94,FALSE,96,Inquisitor,3111280300,32,null,SSF Harbinger
95,FALSE,100,Raider,4250334444,40,turbogandalf,Harbinger
95,FALSE,100,Berserker,4250334444,37,null,Hardcore Harbinger
95,FALSE,95,Raider,2912415099,24,knowfear823,SSF Harbinger HC
95,FALSE,95,Gladiator,3086041684,32,saggiest,SSF Harbinger
96,FALSE,100,Chieftain,4250334444,40,null,Harbinger
96,FALSE,100,Deadeye,4250334444,24,null,Hardcore Harbinger
96,FALSE,95,Berserker,3083988058,36,null,SSF Harbinger
97,FALSE,100,Raider,4250334444,29,decerus,Harbinger
97,FALSE,95,Berserker,3078682841,33,null,SSF Harbinger
97,FALSE,95,Slayer,2896363896,27,null,SSF Harbinger HC
97,FALSE,100,Juggernaut,4250334444,29,mzampi,Hardcore Harbinger
98,TRUE,100,Necromancer,4250334444,37,null,Hardcore Harbinger
98,TRUE,95,Necromancer,2891841560,28,null,SSF Harbinger HC
98,FALSE,95,Berserker,3064994739,34,null,SSF Harbinger
98,FALSE,100,Pathfinder,4250334444,40,env1est,Harbinger
99,FALSE,100,Saboteur,4250334444,36,raaaze,Hardcore Harbinger
99,FALSE,95,Slayer,2887869986,29,null,SSF Harbinger HC
99,FALSE,100,Berserker,4250334444,40,desolacer,Harbinger
99,FALSE,95,Raider,3057495807,31,null,SSF Harbinger
100,FALSE,100,Slayer,4250334444,40,null,Harbinger
100,FALSE,100,Gladiator,4250334444,36,null,Hardcore Harbinger
100,FALSE,95,Berserker,3053948521,39,satanamjay,SSF Harbinger
